,Cladophora,Bryum,Pylaisiella,Cratoneuron_filicinum,Grimmia,Zea,Oryza,Orchid,Paeonia_rockii,Paeonia_suffruticosa,Rothmannia,Solanum,Espeletia,Vitis,Brassica_oleracea,Brassica_napus,Santiria,Microdesmis,Pinus_flexilis,Pinus
Cladophora,0,1.188421617,1.27253373,1.356645838,1.177734404,2.191731314,2.082644372,1.864576778,1.683492382,1.683492023,2.205960818,2.133451355,2.003217733,1.827502547,1.972091936,1.996444681,1.914419044,1.885890651,1.502578282,1.445775964
Bryum,1.188421617,0,0.61239564,0.696507749,0.68581094,2.204480183,2.095393242,1.877325648,1.696241252,1.696240893,2.218709688,2.146200225,2.015966603,1.840251417,1.984840806,2.009193551,1.927167914,1.89863952,1.515327151,1.458524834
Pylaisiella,1.27253373,0.61239564,0,0.43236607,0.769923053,2.288592296,2.179505355,1.96143776,1.780353364,1.780353005,2.302821801,2.230312338,2.100078715,1.92436353,2.068952918,2.093305663,2.011280027,1.982751633,1.599439264,1.542636947
Cratoneuron,1.356645838,0.696507749,0.43236607,0,0.854035161,2.372704405,2.263617463,2.045549869,1.864465473,1.864465113,2.38693391,2.314424446,2.184190824,2.008475638,2.153065027,2.177417771,2.095392136,2.066863742,1.683551372,1.626749056
Grimmia,1.177734404,0.68581094,0.769923053,0.854035161,0,2.193792971,2.084706029,1.866638435,1.685554039,1.685553679,2.208022476,2.135513012,2.00527939,1.829564204,1.974153593,1.998506337,1.916480701,1.887952308,1.504639939,1.447837621
Zea,2.191731314,2.204480183,2.288592296,2.372704405,2.193792971,0,1.255647147,1.554050713,1.834823509,1.834823149,2.357291945,2.284782481,2.15454886,1.978833673,2.123423063,2.147775807,2.065750171,2.037221777,2.013968656,1.957166339
Oryza,2.082644372,2.095393242,2.179505355,2.263617463,2.084706029,1.255647147,0,1.444963771,1.725736567,1.725736207,2.248205003,2.17569554,2.045461918,1.869746732,2.014336121,2.038688866,1.956663229,1.928134836,1.904881715,1.848079397
Orchid,1.864576778,1.877325648,1.96143776,2.045549869,1.866638435,1.554050713,1.444963771,0,1.507668973,1.507668613,2.030137409,1.957627946,1.827394324,1.651679138,1.796268526,1.820621271,1.738595635,1.710067241,1.686814121,1.630011803
Paeonia_rockii,1.683492382,1.696241252,1.780353364,1.864465473,1.685554039,1.834823509,1.725736567,1.507668973,0,0.168225024,1.332580636,1.260071173,1.129837552,0.954122365,1.098711754,1.123064499,1.041038862,1.012510469,1.505729724,1.448927407
Paeonia_suffruticosa,1.683492023,1.696240893,1.780353005,1.864465113,1.685553679,1.834823149,1.725736207,1.507668613,0.168225024,0,1.332580277,1.260070813,1.129837192,0.954122006,1.098711395,1.123064139,1.041038503,1.012510109,1.505729365,1.448927048
Rothmannia,2.205960818,2.218709688,2.302821801,2.38693391,2.208022476,2.357291945,2.248205003,2.030137409,1.332580636,1.332580277,0,1.434284601,1.484080604,1.476590802,1.62118019,1.645532935,1.563507299,1.534978905,2.028198161,1.971395844
Solanum,2.133451355,2.146200225,2.230312338,2.314424446,2.135513012,2.284782481,2.17569554,1.957627946,1.260071173,1.260070813,1.434284601,0,1.41157114,1.404081338,1.548670727,1.573023471,1.490997836,1.462469441,1.955688698,1.898886381
Espeletia,2.003217733,2.015966603,2.100078715,2.184190824,2.00527939,2.15454886,2.045461918,1.827394324,1.129837552,1.129837192,1.484080604,1.41157114,0,1.273847716,1.418437105,1.44278985,1.360764213,1.33223582,1.825455076,1.768652758
Vitis,1.827502547,1.840251417,1.92436353,2.008475638,1.829564204,1.978833673,1.869746732,1.651679138,0.954122365,0.954122006,1.476590802,1.404081338,1.273847716,0,0.960894332,0.985247077,0.903221441,0.874693047,1.64973989,1.592937573
Brassica_oleracea,1.972091936,1.984840806,2.068952918,2.153065027,1.974153593,2.123423063,2.014336121,1.796268526,1.098711754,1.098711395,1.62118019,1.548670727,1.418437105,0.960894332,0,0.151501645,0.867781205,1.019282435,1.794329278,1.737526961
Brassica_napus,1.996444681,2.009193551,2.093305663,2.177417771,1.998506337,2.147775807,2.038688866,1.820621271,1.123064499,1.123064139,1.645532935,1.573023471,1.44278985,0.985247077,0.151501645,0,0.89213395,1.04363518,1.818682023,1.761879706
Santiria,1.914419044,1.927167914,2.011280027,2.095392136,1.916480701,2.065750171,1.956663229,1.738595635,1.041038862,1.041038503,1.563507299,1.490997836,1.360764213,0.903221441,0.867781205,0.89213395,0,0.961609544,1.736656387,1.67985407
Microdesmis,1.885890651,1.89863952,1.982751633,2.066863742,1.887952308,2.037221777,1.928134836,1.710067241,1.012510469,1.012510109,1.534978905,1.462469441,1.33223582,0.874693047,1.019282435,1.04363518,0.961609544,0,1.708127993,1.651325676
Pinus_flexilis,1.502578282,1.515327151,1.599439264,1.683551372,1.504639939,2.013968656,1.904881715,1.686814121,1.505729724,1.505729365,2.028198161,1.955688698,1.825455076,1.64973989,1.794329278,1.818682023,1.736656387,1.708127993,0,0.405054875
Pinus,1.445775964,1.458524834,1.542636947,1.626749056,1.447837621,1.957166339,1.848079397,1.630011803,1.448927407,1.448927048,1.971395844,1.898886381,1.768652758,1.592937573,1.737526961,1.761879706,1.67985407,1.651325676,0.405054875,0