Vitis,Brassica_napus,Brassica_oleracea,Bryum,Chladophora,Cratoneuron,Espeletia,Grimmia,Microdesmis,Orchid,Oryza,Paeonia_rockii,Paeonia_suffruticosa,Pinus,Pinus_flexilis,Populus,Pylaisiella,Rothmannia,Santiria,Solanum,Zea
SRR2064974,SRR5439751,SRR5185924  ,SRR4706101,SRR4734837,SRR4734815,SRR2087830  ,SRR2204159,ERR1745163  ,SRR3747548,SRR5211360,SRR4263477,SRR4265352  ,SRR3742138,SRR3073553  SRR3073555  SRR3073557  SRR3073559,ERR688774  ,SRR4708713,ERR1745175  ,ERR1745151  ,ERR592858  ,SRR5051400  
SRR2064975,SRR5439752,SRR5185925 ,,,,SRR2087831  ,SRR2204344  ,ERR1745164  ,,SRR5211361,SRR4267986,SRR4265353  ,SRR3742176  ,SRR3073554  SRR3073556  SRR3073558,ERR688756  ,,ERR1745176  ,ERR1745152  ,ERR631092  ,SRR5051401  
SRR4010871,SRR5439753,SRR5185926  ,,,,SRR2087832  ,SRR2204707  ,ERR1745165  ,,,SRR4289219,SRR4267985  ,SRR3742177  ,,ERR688757  ,,ERR1745177  ,ERR1745153  ,ERR632207  ,SRR5051407  
SRR4010872,SRR5439754  ,SRR5185927  ,,,,SRR2087834,SRR2204709  ,ERR1745167  ,,,SRR4289223,SRR4267987  ,SRR3742179  ,,ERR688758  ,,ERR1745179  ,ERR1745155  ,ERR632209  ,SRR5051415  
,SRR5439755  ,SRR5185928  ,,,,SRR2087833  ,SRR4453815,ERR1745169  ,,,,SRR4289215  ,SRR3742184  ,,ERR688759 ,,ERR1745181  ,ERR1745157  ,ERR632219  ,SRR5051999  
,SRR5439756  ,SRR5185929  ,,,,SRR2087835,,ERR1745171,,,,SRR4289220,SRR3742193,,ERR688760  ,,ERR1745183,ERR1745159,ERR632221,SRR5052003
,SRR5439757  ,SRR5185934  ,,,,,,ERR1745166  ,,,,SRR4267988  ,SRR3742180  ,,ERR688761  ,,ERR1745178  ,ERR1745154  ,ERR632208  ,SRR5051567  
,SRR5439758  ,SRR5185939  ,,,,,,ERR1745168  ,,,,SRR4289217  ,SRR3742190  ,,ERR688762  ,,ERR1745180  ,ERR1745156 ,ERR632218  ,SRR5052000  
,SRR5439759  ,SRR5185944,,,,,,ERR1745170,,,,SRR4289222,SRR3742194,,ERR688763  ,,ERR1745182,ERR1745158,ERR632220,SRR5052004
,SRR5439760  ,SRR5185930  ,,,,,,,,,,SRR4267992  ,SRR3742182  ,,ERR688764  ,,,,,SRR5051568  
,SRR5439761,SRR5185935  ,,,,,,,,,,SRR4289218  ,SRR3742191  ,,ERR688765  ,,,,,SRR5052001  
,SRR5439771,SRR5185940  ,,,,,,,,,,SRR4289224,SRR3742197,,ERR688783  ,,,,,SRR5052006
,SRR5439781,SRR5185945,,,,,,,,,,,,,ERR688792  ,,,,,
,SRR5439791,SRR5185931  ,,,,,,,,,,,,,ERR688801,,,,,
,SRR5439762,SRR5185936  ,,,,,,,,,,,,,ERR688766  ,,,,,
,SRR5439772,SRR5185941  ,,,,,,,,,,,,,ERR688775  ,,,,,
,SRR5439782,SRR5185946,,,,,,,,,,,,,ERR688784  ,,,,,
,SRR5439792,SRR5185932  ,,,,,,,,,,,,,ERR688793  ,,,,,
,SRR5439763,SRR5185937  ,,,,,,,,,,,,,ERR688802,,,,,
,SRR5439773,SRR5185942  ,,,,,,,,,,,,,ERR688767  ,,,,,
,SRR5439783,SRR5185947,,,,,,,,,,,,,ERR688776  ,,,,,
,SRR5439793,SRR5185933  ,,,,,,,,,,,,,ERR688785  ,,,,,
,SRR5439764 ,SRR5185938  ,,,,,,,,,,,,,ERR688794  ,,,,,
,SRR5439774  ,SRR5185943,,,,,,,,,,,,,ERR688803,,,,,
,SRR5439784  ,,,,,,,,,,,,,,ERR688768  ,,,,,
,SRR5439794,,,,,,,,,,,,,,ERR688777  ,,,,,
,SRR5439765  ,,,,,,,,,,,,,,ERR688786  ,,,,,
,SRR5439775  ,,,,,,,,,,,,,,ERR688795  ,,,,,
,SRR5439785  ,,,,,,,,,,,,,,ERR688804,,,,,
,SRR5439795,,,,,,,,,,,,,,ERR688769  ,,,,,
,SRR5439766  ,,,,,,,,,,,,,,ERR688778  ,,,,,
,SRR5439776  ,,,,,,,,,,,,,,ERR688787  ,,,,,
,SRR5439786  ,,,,,,,,,,,,,,ERR688796  ,,,,,
,SRR5439796,,,,,,,,,,,,,,ERR688805,,,,,
,SRR5439767  ,,,,,,,,,,,,,,ERR688770  ,,,,,
,SRR5439777  ,,,,,,,,,,,,,,ERR688779  ,,,,,
,SRR5439787 ,,,,,,,,,,,,,,ERR688788  ,,,,,
,SRR5439797,,,,,,,,,,,,,,ERR688797,,,,,
,SRR5439768  ,,,,,,,,,,,,,,ERR688773  ,,,,,
,SRR5439778  ,,,,,,,,,,,,,,ERR688782  ,,,,,
,SRR5439788  ,,,,,,,,,,,,,,ERR688791  ,,,,,
,SRR5439798,,,,,,,,,,,,,,ERR688800,,,,,
,SRR5439769  ,,,,,,,,,,,,,,ERR688771  ,,,,,
,SRR5439779  ,,,,,,,,,,,,,,ERR688780  ,,,,,
,SRR5439789,,,,,,,,,,,,,,ERR688789  ,,,,,
,SRR5439770 ,,,,,,,,,,,,,,ERR688798,,,,,
,SRR5439780  ,,,,,,,,,,,,,,ERR688772  ,,,,,
,SRR5439790,,,,,,,,,,,,,,ERR688781  ,,,,,
,,,,,,,,,,,,,,,ERR688790  ,,,,,
,,,,,,,,,,,,,,,ERR688799,,,,,